,tweet_id,author,DT,NN,IN,:,WP,MD,VB,NNS,WDT,PRP$,JJR,.,RB,JJ,",",NNP,VBD,VBG,``,'',PRP,VBP,EX,VBZ,TO,VBN,WRB,CD,HYPH,NFP,ADD,RP,CC,LS,-RRB-,NNPS,JJS,-LRB-,$,SYM,POS,XX,RBR,FW,PDT,RBS,UH,WP$
3796,706531628525428744,realDonaldTrump,0.0006106248727864849,0.0006106248727864849,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.006920415224913495,0.0,0.006920415224913495,0.0,0.0006106248727864849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3797,706531291018170369,realDonaldTrump,0.00032393909944930353,0.0045351473922902496,0.047619047619047616,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0045351473922902496,0.047619047619047616,0.0045351473922902496,0.0045351473922902496,0.00032393909944930353,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3798,706467532291624960,realDonaldTrump,0.08333333333333333,0.013888888888888888,0.08333333333333333,0.0,0.0,0.08333333333333333,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
3799,706311590321246209,realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800,706207445442543616,realDonaldTrump,0.0,0.045454545454545456,0.004132231404958678,0.0,0.0,0.0,1.707533638412677e-05,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.004132231404958678,9.7018956727993e-07,0.0,0.0,0.0,0.0,0.004132231404958678,0.004132231404958678,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3801,706185780109185024,realDonaldTrump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
3802,706185049796943873,realDonaldTrump,0.0032,0.04,1.024e-05,0.0032,0.0,0.04,0.0032,0.0,0.0,0.0,0.0,0.04,0.0032,0.0,0.0,2.4576e-08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
3803,706179933480099840,realDonaldTrump,0.038461538461538464,0.00017068730086481566,0.00017068730086481566,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.002958579881656805,0.0,0.038461538461538464,0.0,8.753194916144395e-06,0.0,0.038461538461538464,0.0,0.0,0.002958579881656805,0.002958579881656805,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3804,706179514611724288,realDonaldTrump,0.0,0.0020811654526534857,0.0020811654526534857,0.03225806451612903,0.0,0.0,0.00010070155416065254,0.0020811654526534857,0.0,0.0,0.0,0.0020811654526534857,0.0020811654526534857,0.0,0.03225806451612903,4.331249641318389e-06,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0020811654526534857,0.0,0.0,0.0020811654526534857,0.03225806451612903,0.0020811654526534857,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805,706168204259758080,realDonaldTrump,0.00011111111111111112,4.938271604938272e-06,0.0022222222222222222,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,4.938271604938272e-06,0.00011111111111111112,0.0022222222222222222,0.0022222222222222222,0.00011111111111111112,0.03333333333333333,0.0022222222222222222,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
